,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,Cu-Sc@Cu,-0.63,0.97,-2.72,0.99,2.79,16.86,5.30,1.41,0.67,7.73,1.24,1.90,1.64,1.00
38,Cu-Ti@Cu,-0.69,0.97,-2.83,1.02,2.48,14.50,5.30,1.41,0.67,7.73,1.24,1.90,1.73,1.00
39,Cu-V@Cu,-0.81,0.97,-2.74,1.07,2.12,11.81,5.30,1.41,0.67,7.73,1.24,1.90,1.77,1.00
40,Cu-Cr@Cu,-1.17,0.97,-2.59,1.10,1.71,9.68,5.30,1.41,0.67,7.73,1.24,1.90,1.79,1.00
41,Cu-Co@Cu,-0.76,0.97,-2.34,1.08,1.28,9.60,5.30,1.41,0.67,7.73,1.24,1.90,1.89,1.00
42,Cu-Ni@Cu,-0.72,0.97,-2.14,1.07,1.25,9.36,5.30,1.41,0.67,7.73,1.24,1.90,1.90,1.00
43,Cu-Cu@Cu,-0.63,0.97,-2.26,1.06,1.11,10.84,5.30,1.41,0.67,7.73,1.24,1.90,1.90,1.00
44,Cu-Y@Cu,-0.73,0.97,-2.56,0.96,2.76,17.57,5.30,1.41,0.67,7.73,1.24,1.90,1.56,1.00
45,Cu-Zr@Cu,-0.84,0.97,-2.74,1.02,2.58,15.81,5.30,1.41,0.67,7.73,1.24,1.90,1.62,1.00
46,Cu-Nb@Cu,-1.05,0.97,-2.71,1.08,2.14,12.69,5.30,1.41,0.67,7.73,1.24,1.90,1.76,1.00
47,Cu-Mo@Cu,-1.18,0.97,-2.52,1.11,1.58,9.93,5.30,1.41,0.67,7.73,1.24,1.90,2.01,1.00
48,Cu-Ru@Cu,-0.87,0.97,-2.31,1.08,0.94,8.48,5.30,1.41,0.67,7.73,1.24,1.90,2.03,1.00
49,Cu-Rh@Cu,-0.81,0.97,-2.14,1.07,0.85,8.58,5.30,1.41,0.67,7.73,1.24,1.90,2.06,1.00
50,Cu-Pd@Cu,-0.75,0.97,-1.99,1.03,0.71,9.38,5.30,1.41,0.67,7.73,1.24,1.90,2.03,1.00
51,Cu-Ag@Cu,-0.64,0.98,-2.13,0.98,0.68,14.09,5.30,1.41,0.67,7.73,1.24,1.90,1.91,1.00
52,Cu-La@Cu,-0.69,0.97,-2.41,0.93,2.54,19.64,5.30,1.41,0.67,7.73,1.24,1.90,1.49,1.00
53,Cu-Ta@Cu,-1.01,0.97,-2.83,1.14,2.06,12.45,5.30,1.41,0.67,7.73,1.24,1.90,1.71,1.00
54,Cu-W@Cu,-1.18,0.97,-2.63,1.19,1.46,9.55,5.30,1.41,0.67,7.73,1.24,1.90,2.09,1.00
